Street,Intersection,fatal,EMSTransport,Posted Speed,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Light Condition,year,month,day,hour,day_of_week
1330 E 3rd St,Holtzlcaw Ave,0,1,35.0,0,1,0,0.0,0.0,35.043072,-85.279331,4,2020,1,22,15,2
7987 E Brainerd Rd,Thelmeta Ave,0,1,40.0,0,1,0,0.0,0.0,35.005196,-85.151676,0,2020,1,27,18,0
4th St,Market St,0,0,30.0,0,1,0,0.0,0.0,35.052314,-85.309633,4,2020,1,30,13,3
400 E 4th St,Market St,0,0,30.0,0,1,0,0.0,0.0,35.052314,-85.309633,4,2020,2,3,13,0
3100 Cummings Hwy,Aster Ave,0,1,45.0,0,1,0,0.0,0.0,35.0373424,-85.317313,4,2020,2,4,16,1
2100 Hamilton Place Blvd,Hamilton Place Blvd,0,0,,0,1,0,0.0,0.0,35.034528,-85.158706,4,2020,2,7,17,4
4400 HWY 58,Murray Hills DR,0,0,40.0,0,1,0,0.0,0.0,35.084387,-85.201204,0,2020,2,14,3,4
Brainerd Rd,N Moore Rd,0,0,40.0,4,1,0,0.0,0.0,35.012954,-85.228277,4,2020,2,20,8,3
2302 Glass St,GLASS ST,0,0,,0,1,0,0.0,0.0,35.064089,-85.253404,0,2020,2,23,0,6
8101 E Brainerd Rd,E Brainerd Rd,0,0,15.0,0,1,0,0.0,0.0,35.005297,-85.149263,0,2020,2,23,19,6
4211 Rossville Blvd,E 43rd St,1,1,40.0,0,1,0,1.0,1.0,34.994056,-85.291635,0,2020,2,25,20,1
W 4th St,Broad St,0,0,20.0,1,1,0,0.0,0.0,35.052295,-85.310664,4,2020,2,26,17,2
320 King St,E Martin Luther King Blvd,0,0,25.0,0,1,0,0.0,1.0,35.044474,-85.304811,0,2020,2,29,20,5
8001 Volkswagen Dr,75 hwy,0,0,,0,1,0,0.0,0.0,35.0766869,-85.135141,0,2020,3,7,3,5
1901 E 3RD ST,N Orchard Knob,0,1,35.0,0,1,0,0.0,0.0,35.040848,-85.271906,4,2020,3,8,14,6
3600 Brainerd Rd,McBrien Rd.,0,1,35.0,0,1,0,0.0,0.0,34.9949758,-85.3385,4,2020,3,9,16,0
2-8 Exit 181 On Ramp Wb rd,4th Ave,0,1,45.0,4,1,0,0.0,0.0,35.01715,-85.28045,0,2020,3,12,7,3
3536 Brainerd Rd,N Germantown Rd,0,1,45.0,0,1,0,0.0,0.0,35.024755,-85.247548,4,2020,3,12,15,3
S Germantown Rd,Wilcox Blvd,0,1,35.0,0,1,0,,,35.051577,-85.253371,3,2020,3,19,7,3
3450 Wilcox Blvd,Wilcox Blvd,0,1,35.0,0,1,0,0.0,0.0,35.047062,-85.237198,0,2020,3,22,23,6
1000 E 3rd Street,E 3rd St,0,0,15.0,4,1,0,0.0,0.0,35.047259,-85.290517,4,2020,3,23,12,0
1505 Mulberry St,E Main St,0,1,15.0,0,1,0,0.0,0.0,35.025113,-85.278727,0,2020,4,5,20,6
1609 Dodds Ave,E 17th St,0,0,35.0,0,1,0,0.0,0.0,35.02045,-85.270951,4,2020,4,7,9,1
E 36th street,3rd avenue,1,1,35.0,0,1,0,0.0,0.0,35.002497,-85.289383,5,2020,4,8,19,2
4211 Rossville Blvd,E 42nd St,0,0,40.0,0,1,0,0.0,0.0,35.0237939,-85.297324,4,2020,4,10,19,4
153 Hwy,Grubb Rd,0,0,45.0,4,1,0,0.0,0.0,35.152975,-85.24562,4,2020,4,12,15,6
959 Gateway Ave,959 Gateway Ave,0,1,,0,1,0,0.0,0.0,35.045229,-85.32022,4,2020,4,29,8,2
7748 Nautical Way,Holiday Hills Cir,0,1,35.0,0,1,0,0.0,,35.080442,-85.16802,1,2020,5,2,22,5
2626 Walker Rd,Standifer Gap Rd,0,0,25.0,0,1,0,0.0,0.0,35.056528,-85.13274,4,2020,5,3,15,6
4th Ave,E 25th St,0,1,35.0,0,1,0,0.0,0.0,35.015081,-85.281591,0,2020,5,17,22,6
1100 E 3rd St,Central Ave,0,1,30.0,0,1,0,0.0,0.0,35.046017,-85.288095,4,2020,5,19,9,1
Lookout St,Georgia Ave,0,0,25.0,0,1,0,0.0,0.0,35.050391,-85.306948,4,2020,5,21,8,3
1426 Stratton Place Dr,E Brainerd Rd,0,1,15.0,0,1,0,0.0,0.0,35.011049,-85.160485,4,2020,6,10,20,2
3409 Clio Ave Private property,Private Property Driveway,0,1,15.0,0,1,0,0.0,0.0,35.005409,-85.291976,4,2020,6,16,16,1
2285 Wilcox Blvd,Dodson Ave,0,1,15.0,4,1,0,0.0,0.0,35.053263,-85.260921,0,2020,6,17,21,2
1301 Dallas Rd,Mississippi Ave,0,0,,4,1,0,0.0,0.0,35.079156,-85.303264,4,2020,6,26,10,4
7022 Shallowford Rd,Amin Dr,0,0,,0,1,0,0.0,0.0,35.042752,-85.158203,4,2020,7,2,11,3
2909 Noa St,Stuart St,0,1,25.0,0,1,0,0.0,1.0,35.069598,-85.245405,0,2020,7,5,21,6
8001 Volkswagen Dr,Gate 9A Rd,0,1,35.0,0,1,0,0.0,0.0,35.080045,-85.132664,1,2020,7,17,21,4
2528 Broad St,W 25th St,0,0,15.0,0,1,0,0.0,0.0,35.02783,-85.315794,4,2020,7,20,13,0
2001 E 23rd St,S. Orchard Knob Ave,0,1,40.0,0,1,0,0.0,0.0,35.019679,-85.282975,4,2020,7,21,11,1
E 11th St,Peeples St,0,1,25.0,0,1,0,0.0,1.0,35.040477,-85.299892,4,2020,8,7,19,4
5709 Lee Hwy,6000 E Brainerd,0,0,40.0,0,1,0,0.0,0.0,35.019342,-85.204593,0,2020,8,8,2,5
5637 Highway 58,Tyner Ln,0,0,15.0,0,1,0,0.0,0.0,35.110503,-85.142253,4,2020,8,18,15,1
500 S Germantown Rd,18350 Hwy 24 Wb,0,0,35.0,4,1,0,0.0,0.0,35.015328,-85.251282,4,2020,8,24,11,0
Long St,W 26th St,0,1,15.0,0,1,0,0.0,1.0,35.024836,-85.314417,0,2020,9,3,22,3
5400 Brainerd Rd,Pisgah Ave,0,1,40.0,0,1,0,0.0,0.0,35.01038,-85.22103,0,2020,9,5,20,5
1020 N Moore Rd,Belle Vista,0,1,35.0,0,1,0,0.0,0.0,35.027863,-85.21911,4,2020,9,8,16,1
400 N. Holtzclaw Ave,East 3rd St.,0,1,40.0,0,1,0,0.0,0.0,35.044604,-85.281959,5,2020,9,14,18,0
200 E Martin Luther King Blvd St,Non intersection,0,0,30.0,0,1,0,0.0,0.0,35.044563,-85.306585,4,2020,9,16,14,2
9200 Lee Hwy,Artesian circle,0,1,35.0,1,1,0,0.0,0.0,35.08452,-85.06383,4,2020,9,19,10,5
3614 Wilcox Blvd,Dogwood Dr,0,1,30.0,0,1,0,0.0,0.0,35.045763,-85.233416,4,2020,9,19,17,5
N Market St,Cherokee Blvd,0,0,30.0,4,1,0,0.0,0.0,35.062644,-85.308526,4,2020,9,24,18,3
Rossville Blvd,E 35th St,0,0,15.0,0,1,0,0.0,0.0,35.004673,-85.292334,4,2020,10,7,15,2
5428 Hwy 153,Northpoint Blvd,0,0,15.0,0,1,0,0.0,0.0,34.9875422,-85.294598,4,2020,10,8,14,3
9050-9198 Lee Hwy,Little Debbie Pkwy,0,1,40.0,0,1,0,0.0,0.0,35.08456,-85.06419,1,2020,10,8,22,3
W Aquarium Way,Chestnut St,0,1,15.0,4,1,0,0.0,0.0,35.054733,-85.311857,0,2020,10,10,19,5
5958 Snow Hill Rd,Mountain View,0,0,15.0,4,1,0,0.0,0.0,35.090553,-85.064316,0,2020,10,10,20,5
4903 Brainerd Rd,N Moore Rd,0,1,35.0,0,1,0,0.0,1.0,35.012915,-85.227459,0,2020,10,13,19,1
4216 Midland Pike,Talley Road,0,1,30.0,0,1,0,0.0,0.0,35.0514,-85.2804,4,2020,10,19,14,0
3330 Hixson Pike,Carter Dr,0,1,40.0,0,1,0,0.0,0.0,35.101874,-85.274186,4,2020,10,20,10,1
Cooley St,N Willow St,0,1,25.0,0,1,0,0.0,0.0,35.052261,-85.265688,5,2020,10,22,20,3
Lee Hwy,Tyner Rd,0,1,45.0,1,1,0,0.0,0.0,35.055087,-85.143332,4,2020,10,24,7,5
7205 Aventine Way,E Brainerd,0,1,15.0,0,1,0,0.0,0.0,35.016396,-85.168561,4,2020,10,26,17,0
501 Signal Mountain Rd,Mundy Street,0,1,15.0,0,1,0,0.0,0.0,35.094368,-85.331318,4,2020,11,6,14,4
1701-1799 E 37th St,Rossville Blvd,0,1,30.0,4,1,0,0.0,0.0,35.001482,-85.291618,0,2020,11,11,18,2
7500 Bonny Oaks Dr,Lee Hwy,0,1,40.0,0,1,0,1.0,0.0,35.0607478,-85.134369,4,2020,11,12,15,3
6th Ave,E 25th Street Ct,0,1,15.0,0,1,0,0.0,0.0,35.013672,-85.279925,4,2020,11,16,12,0
W 3rd St,Market St,0,0,35.0,0,1,0,0.0,0.0,35.053512,-85.309667,4,2020,11,17,15,1
3500 Brainerd Rd,N Germantown Rd,0,1,35.0,0,1,0,0.0,0.0,35.023571,-85.244828,4,2020,11,20,10,4
6101 Lee Hwy,Lee Hwy,0,1,15.0,0,1,0,0.0,0.0,35.030545,-85.189874,4,2020,11,27,12,4
7734 Lee Hwy,Bonny Oaks Dr,0,1,15.0,0,1,0,0.0,0.0,35.062796,-85.130151,4,2020,11,30,14,0
5928 Hixson Pike,Cassandra Smith Rd,0,1,,0,1,0,0.0,0.0,35.147481,-85.20734,4,2020,12,1,12,1
Gunbarrel Rd,Goodwin Rd,0,0,15.0,0,1,0,0.0,0.0,35.033214,-85.151302,4,2020,12,5,13,5
4300 Highway 58,Murray Hills Drive,0,1,45.0,0,1,0,0.0,1.0,35.082562,-85.206217,0,2020,12,6,19,6
3354 Charger Dr,W 37th St,0,0,30.0,0,1,0,0.0,0.0,35.013799,-85.323359,4,2020,12,10,15,3
3424 Rossville Blvd,E 35th St,0,1,40.0,0,1,0,0.0,0.0,35.004258,-85.292268,4,2020,12,15,10,1
6200 Mountain View Rd,Hunter Rd,0,0,35.0,0,1,0,0.0,1.0,35.098445,-85.05571,1,2020,12,18,6,4
700-799 River Terminal Rd,Riverport Rd,0,0,15.0,0,1,0,0.0,0.0,35.071852,-85.271676,4,2020,12,22,15,1
116 Central Ave,East 3rd,0,1,25.0,4,1,0,0.0,0.0,35.04786,-85.287357,0,2020,12,24,6,3
490 Greenway View Dr,Brainerd rd,0,1,15.0,1,1,0,0.0,0.0,35.008709,-85.205213,0,2020,12,24,17,3
Derby Cir,E 4th St,0,0,30.0,0,1,0,,1.0,35.037478,-85.265377,0,2020,12,25,4,4
120 Market St,W Aquarium Way,0,1,25.0,0,1,0,0.0,1.0,35.055214,-85.309333,0,2020,12,27,21,6
6725 Dupre Rd,Hickory Valley Rd,0,1,25.0,0,1,0,0.0,0.0,35.02471,-85.180158,3,2021,1,2,7,5
1804 Gunbarrel Rd,Crane Rd,0,1,,0,1,0,0.0,0.0,35.023735,-85.158512,4,2021,1,4,17,0
Amnicola Hwy,Judd Rd,0,1,50.0,0,1,0,0.0,1.0,35.084474,-85.262399,0,2021,1,15,20,4
Rossville Blvd,27th St,0,0,45.0,0,1,0,0.0,0.0,35.01603,-85.29329,1,2021,1,16,21,5
18517 Interstate 24 Eastbound,Spring Creek Rd,0,1,45.0,0,1,0,0.0,0.0,35.004152,-85.219256,2,2021,1,18,2,0
2521 Lifestyle Way,Napier Rd,0,0,15.0,0,1,0,0.0,0.0,35.044337,-85.152338,4,2021,1,23,13,5
1906 Fairleigh St,N Beech St,0,0,30.0,1,1,0,0.0,0.0,35.1310404,-85.236565,5,2021,1,24,17,6
E 11th St,Baldwin St,0,1,25.0,0,1,0,0.0,0.0,35.0451953,-85.304933,0,2021,1,29,19,4
5764 Highway 153,Hwy 153 Nb,0,1,45.0,1,1,0,0.0,0.0,35.152975,-85.24562,4,2021,1,30,13,5
5814 Lee Hwy,Chickamauga Rd,0,1,40.0,0,1,0,0.0,0.0,35.021343,-85.200063,0,2021,1,30,22,5
3907 Dodds Ave,E 40th St,0,1,30.0,0,1,0,0.0,0.0,34.997051,-85.283782,0,2021,2,1,20,0
6951 Lee Hwy,Shallowford Rd,0,1,40.0,0,1,0,0.0,0.0,35.044762,-85.164109,0,2021,2,5,7,4
4040 Mountain Creek Rd,Mountain Creek Rd,0,0,15.0,0,1,0,0.0,0.0,35.128226,-85.307986,4,2021,2,9,18,1
3600 Rossville Blvd,37th,0,1,35.0,0,1,0,0.0,0.0,35.002372,-85.291848,3,2021,2,12,6,4
2301 4th Ave,E 23rd St,0,0,25.0,0,1,0,0.0,0.0,35.017689,-85.280427,4,2021,2,22,18,0
S Willow St,E 23rd St,0,1,35.0,0,1,0,0.0,0.0,35.018994,-85.279976,4,2021,2,24,13,2
Mountain Creek Rd,Signal View,0,1,25.0,0,1,0,0.0,0.0,35.103758,-85.32436,0,2021,2,27,21,5
2301 4th Ave,E 23rd St,0,1,45.0,0,1,0,0.0,0.0,35.017689,-85.280427,0,2021,2,27,22,5
4711 Brainerd Rd,Woodvale,0,1,35.0,0,1,0,,,35.014231,-85.23045,0,2021,3,8,0,0
Manufacturers Rd,Cherokee Blvd,0,1,30.0,0,1,0,0.0,0.0,35.063562,-85.310268,4,2021,3,19,14,4
Riverfront Pkwy,Power Ally,0,0,25.0,4,1,0,0.0,0.0,35.055585,-85.314669,4,2021,3,23,17,1
2020 Gunbarrel Rd,Goodwin Rd,0,1,15.0,0,1,0,0.0,0.0,35.030081,-85.153146,4,2021,3,24,12,2
Tremont St,Frazier Ave,0,0,30.0,0,1,0,0.0,0.0,35.061751,-85.30483,4,2021,3,26,11,4
7804 E Brainerd Rd,E Brainerd Rd,0,1,,0,1,0,0.0,0.0,35.008124,-85.154777,4,2021,3,30,14,1
Houston St,Vine St,0,1,35.0,0,1,0,0.0,0.0,35.04888,-85.30315,4,2021,4,1,9,3
000 W Bell Ave,N Market St,0,1,30.0,0,1,0,0.0,0.0,35.068284,-85.308932,0,2021,4,5,21,0
Amnicola Hwy,Amnicola Hwy,0,0,50.0,0,1,0,1.0,0.0,35.060881,-85.274813,4,2021,4,6,15,1
3604 Brainerd Rd,Germantown rd,0,1,15.0,0,1,0,0.0,0.0,35.023303,-85.245707,0,2021,4,6,20,1
5840 Lake Resort Ter,Lake Resort Ter,0,1,,0,1,0,0.0,0.0,35.10906,-85.21286,3,2021,4,7,7,2
S Greenwood Ave,E 16th St,0,0,25.0,0,1,0,0.0,0.0,35.027774,-85.287382,4,2021,4,10,17,5
3800 Chandler Ave,400 West 38th Street,0,1,35.0,0,1,0,,,35.006719,-85.313922,4,2021,4,13,14,1
,Hwy 153 NB,1,0,55.0,0,1,0,1.0,1.0,35.030023,-85.169946,1,2021,4,16,3,4
6220 Perimeter Dr,Perimeter Dr,0,0,,0,1,0,0.0,0.0,35.028732,-85.183754,4,2021,4,16,10,4
500 S Willow St,Bailey Ave,0,1,25.0,0,1,0,0.0,0.0,35.033198,-85.272756,4,2021,4,22,8,3
300 N Germantown Rd,Rogers Rd,1,0,30.0,0,1,0,0.0,0.0,35.034097,-85.241284,1,2021,4,23,0,4
1523 Bradt St,Camden St,0,1,30.0,0,1,0,0.0,0.0,35.054535,-85.262452,0,2021,4,26,0,0
Cherokee Blvd,Manufacturers Rd,0,0,35.0,0,1,0,0.0,0.0,35.063562,-85.310268,0,2021,4,26,5,0
5800 Lee Hwy,Lee Hwy,0,0,,0,1,0,0.0,0.0,35.020397,-85.200939,4,2021,4,27,10,1
1200 Nellie St,Hoyt,0,1,25.0,1,1,0,0.0,0.0,35.045715,-85.247063,4,2021,4,29,10,3
1801 S Holtzclaw Ave,E 21st,0,1,,0,1,0,0.0,1.0,35.025405,-85.290348,0,2021,5,9,0,6
2300 4th Ave,E 23rd St,0,0,35.0,0,1,0,0.0,1.0,35.017356,-85.279988,3,2021,5,15,20,5
E 23rd St,Rossville Blvd,0,1,45.0,0,1,0,0.0,0.0,35.024513,-85.297979,1,2021,5,15,21,5
Hamill Rd,Hwy 153,0,0,15.0,0,1,0,0.0,0.0,35.123297,-85.240129,4,2021,5,28,14,4
4305 Hancock Rd,Jersey Pike,0,1,35.0,0,1,0,0.0,0.0,35.08142,-85.185364,1,2021,5,29,4,5
E 23rd St,S Willow St,0,1,35.0,0,1,0,,0.0,35.01701,-85.277147,6,2021,6,1,0,1
103 Market St,Aquarium Way,0,1,30.0,0,1,0,0.0,1.0,35.055669,-85.309741,4,2021,6,3,8,3
5500 Highway 153,Gadd Rd,0,0,45.0,0,1,0,0.0,0.0,35.142401,-85.248276,4,2021,6,4,20,4
301 E Martin Luther King Blvd,E MLK Blvd,0,1,25.0,0,1,0,0.0,1.0,35.044821,-85.305288,4,2021,6,17,13,3
5900 Lee Hwy,Airport Rd,0,1,40.0,0,1,0,0.0,0.0,35.022082,-85.198323,4,2021,6,29,10,1
2180 Gunbarrel Rd,Commons Blvd,0,1,15.0,0,1,0,0.0,0.0,35.034718,-85.149653,4,2021,7,2,10,4
3147 Broad St,W 31st St,0,0,,1,1,0,0.0,0.0,35.019563,-85.321641,4,2021,7,7,12,2
561 Arlington Ave,Ramsey St.,0,0,30.0,0,1,0,0.0,0.0,35.041794,-85.264616,4,2021,7,7,15,2
Dodson Ave,Wilcox Blvd,0,1,35.0,0,1,0,0.0,0.0,35.05297,-85.260301,4,2021,7,10,16,5
7610 E Brainerd Rd,Strattmon Cir,0,0,15.0,4,1,0,0.0,0.0,35.011033,-85.15783,4,2021,7,11,19,6
5200 Hixson Pike,Austin Rd,0,0,40.0,4,1,0,0.0,0.0,35.13766,-85.2363,4,2021,7,12,13,0
E Main St,Market St,0,1,25.0,0,1,0,0.0,0.0,35.036143,-85.307328,4,2021,7,14,17,2
W 10th St,Broad St,0,1,30.0,0,1,0,0.0,0.0,35.04484,-85.3109,0,2021,7,15,0,3
24 EB interstate,Hwy 27,1,1,55.0,0,1,0,0.0,0.0,35.021125,-85.326589,5,2021,7,22,20,3
Market St,W 14th St,0,1,30.0,0,1,0,0.0,0.0,35.038306,-85.307836,0,2021,7,24,22,5
7641 Lee Hwy,Lee Hwy,0,1,40.0,0,1,0,0.0,1.0,35.060567,-85.135205,0,2021,7,27,22,1
301 N Holtzclaw Ave,N Holtzclaw Ave,0,0,15.0,0,1,0,0.0,0.0,35.04265,-85.282091,4,2021,7,30,12,4
2119 E 23rd St,S Willow St,0,1,30.0,0,1,0,,,35.018546,-85.280426,4,2021,8,6,14,4
4903 Brainerd Rd,N Moore Rd,0,1,40.0,0,1,0,0.0,1.0,35.012915,-85.227459,0,2021,8,10,22,1
Interstate 24 EB hwy,S Germantown rd,0,1,55.0,0,1,0,,,35.012864,-85.249053,1,2021,8,13,0,4
1826 Carter St,Carter St,0,0,15.0,0,1,0,0.0,0.0,35.0467,-85.3011,4,2021,8,13,18,4
W 3rd St,Market St,0,0,30.0,0,1,0,0.0,0.0,35.053495,-85.310575,0,2021,8,13,22,4
2525 De Sales Ave,Derby St,0,0,15.0,0,1,0,0.0,0.0,35.041707,-85.260666,4,2021,8,19,8,3
S Willow St,E 18th St,0,1,25.0,0,1,0,0.0,0.0,35.02184,-85.278652,0,2021,8,20,3,4
Hickory Valley Rd,Shallowford Rd,0,0,35.0,0,1,0,0.0,0.0,35.043769,-85.167619,3,2021,9,2,6,3
Frazier Ave,Tremont St/Tampa St,0,1,30.0,0,1,0,0.0,0.0,35.0616,-85.30466,4,2021,9,3,6,4
E 11th St,Market St,0,1,30.0,0,1,0,0.0,0.0,35.043922,-85.309345,3,2021,9,10,7,4
703 Signal Mountain Rd,Signal Moutain Rd,0,0,15.0,0,1,0,,,35.098406,-85.329331,4,2021,9,16,12,3
1420 Dodson Ave,Wilcox Blvd,0,1,,0,1,0,0.0,1.0,35.05297,-85.260301,4,2021,9,16,18,3
3440 Wilcox Blvd,Tunnel Blvd,0,1,15.0,0,1,0,0.0,0.0,35.046965,-85.238216,0,2021,9,17,20,4
7502 Standifer Gap Rd,Jenkins Rd,0,1,25.0,0,1,0,0.0,0.0,35.0436962,-85.125868,2,2021,9,24,0,4
W 20th St,Long St,0,1,,0,1,0,0.0,0.0,35.032049,-85.311255,4,2021,9,27,11,0
438 Roberts St,Cleveland Ave,0,1,25.0,0,1,0,,,35.043325,-85.273118,0,2021,9,29,23,2
1401 E 23rd St,S Greenwood Ave,0,1,40.0,0,1,0,0.0,0.0,35.0221,-85.290226,4,2021,9,30,17,3
7400 Goodwin Rd,Gunbarrel Rd,0,1,45.0,0,1,0,0.0,0.0,35.030221,-85.155546,4,2021,10,1,14,4
800 E MLK Blvd,Douglas St,0,0,25.0,0,1,0,0.0,0.0,35.043151,-85.30296,0,2021,10,1,21,4
2100 Hamilton Place Blvd,Hamilton Place Blvd,0,1,15.0,0,1,0,0.0,0.0,35.032896,-85.159378,0,2021,10,2,21,5
3100 Broad St,W 31st St,0,0,35.0,4,1,0,0.0,0.0,35.020693,-85.319977,0,2021,10,7,2,3
4600 Amnicola Hwy,HWY 153,0,1,50.0,0,1,0,0.0,0.0,35.091662,-85.225479,1,2021,10,11,20,0
Cappella St,E 19th St,0,0,15.0,0,1,0,0.0,0.0,35.032214,-85.305593,4,2021,10,13,16,2
801 Riverfront Pkwy,Molly Ln,0,1,35.0,0,1,0,0.0,1.0,35.05079,-85.321247,0,2021,10,13,21,2
Brainerd Rd,Eastgate Loop Rd,0,1,40.0,0,1,0,0.0,1.0,35.01064,-85.216372,0,2021,10,16,20,5
Market St,E 3rd St,0,0,35.0,3,1,0,0.0,0.0,35.053512,-85.309667,4,2021,10,17,16,6
Georgia Ave,E 5th St,0,1,30.0,0,1,0,0.0,0.0,35.051045,-85.305296,0,2021,10,20,19,2
Bonny Oaks Dr,S Access,0,1,45.0,0,1,0,1.0,1.0,35.080613,-85.212942,0,2021,10,23,19,5
Lindsay St,E 8th St,0,0,35.0,4,1,0,0.0,0.0,35.046629,-85.30615,3,2021,10,29,7,4
1300 Vance Road,Hunt Drive,0,1,35.0,0,1,0,0.0,0.0,35.024147,-85.187644,4,2021,11,2,15,1
Market St,W14th St,0,1,30.0,0,1,0,,,35.038499,-85.307481,0,2021,11,5,20,4
4850 Highway 58,Jersey Pike,1,0,40.0,0,1,0,0.0,1.0,35.09146,-85.182441,1,2021,11,5,20,4
200 W Aquarium Way,Power Aly,0,0,25.0,0,1,0,0.0,0.0,35.054365,-85.312362,4,2021,11,10,9,2
2277 Gunbarrel Rd,Shallowford Road,0,1,40.0,0,1,0,0.0,0.0,35.039243,-85.151301,0,2018,11,30,22,4
1808 S Beech St,E 19th St,0,1,30.0,0,1,0,0.0,0.0,35.1830942,-85.219799,4,2018,3,17,14,5
3131 Mountain Creek Rd,Mountain creek rd,0,1,,1,1,0,0.0,0.0,35.123054,-85.318047,1,2018,2,7,19,2
5764 Highway 153,Grubb Rd,0,0,,0,1,0,0.0,0.0,35.152975,-85.24562,4,2018,1,19,12,4
E Martin Luther King Blvd,Georgia Avenue,0,0,25.0,0,1,0,0.0,0.0,35.045767,-85.308262,4,2018,2,27,12,1
3604 Brainerd Rd,Germantown Rd,0,1,40.0,0,1,0,0.0,,35.023303,-85.245707,4,2018,4,20,9,4
E Martin Luther King Blvd,Houston St,0,0,30.0,0,1,0,0.0,0.0,35.044563,-85.306585,4,2018,8,16,9,3
W 20th St,2000 Broad St,0,1,35.0,0,1,0,0.0,0.0,35.033352,-85.313586,3,2018,1,16,6,1
Central Ave,McCallie Ave,0,0,35.0,1,1,0,0.0,0.0,35.041926,-85.290932,4,2018,9,6,7,3
2288 Gunbarrel Rd,Gunbarrel Rd,0,0,15.0,0,1,0,0.0,0.0,35.037485,-85.149705,4,2018,5,10,11,3
200 W 6th St,Non intersection,0,1,35.0,0,1,0,0.0,0.0,35.049623,-85.311696,4,2018,1,19,17,4
Volkswagen Dr,Bonny Oaks Dr,0,1,,0,1,0,0.0,0.0,35.080045,-85.132664,0,2018,1,18,5,3
300 Market St,West 3rd St,0,0,30.0,0,1,0,0.0,0.0,35.053512,-85.309667,4,2018,1,20,15,5
Market St,E 6th St,0,1,45.0,0,1,0,0.0,0.0,35.049668,-85.309567,4,2018,2,20,6,1
2204 Hamilton Place Blvd,Hamilton Place Blvd,0,1,30.0,4,1,0,1.0,1.0,35.0381,-85.155971,1,2019,3,9,0,5
E 10th St,Market St,0,1,35.0,0,1,0,0.0,0.0,35.044862,-85.309402,4,2018,1,2,17,1
140 Highway 153 Nb,130 Hwy 153 NB,0,1,55.0,0,1,0,1.0,0.0,35.039725,-85.18526,4,2019,5,30,11,3
Shepherd View Cir,7168 shepard view circle,0,1,15.0,0,1,0,0.0,0.0,35.057392,-85.148694,4,2018,3,23,15,4
E 3rd St,Central Ave,0,1,30.0,3,1,0,0.0,0.0,35.046907,-85.288194,0,2018,1,8,7,0
5837 Bunch St,Dixson St,0,1,25.0,0,1,0,0.0,0.0,35.043199,-85.19201,0,2018,11,15,19,3
Brainerd Rd,Brainerd Rd,0,1,,4,1,0,0.0,0.0,35.012306,-85.212241,0,2018,1,12,7,4
Volkswagen Dr,Volkswagen Dr,0,1,15.0,1,1,0,0.0,0.0,35.080045,-85.132664,4,2018,6,28,6,3
7300 Shallowford Rd,Napier,1,1,40.0,0,1,0,0.0,0.0,35.041836,-85.154037,0,2018,8,7,6,1
2100 Hamilton Place,Hamilton place blvd,0,1,20.0,0,1,0,0.0,0.0,35.0511515,-85.188788,4,2018,1,22,12,0
S Kelley St,Chamberlain Ave,0,1,25.0,0,1,0,0.0,0.0,35.08811,-85.071898,4,2018,4,5,12,3
3459 Amnicola Hwy,Lost Mound Drive,1,0,45.0,0,1,0,0.0,0.0,35.083556,-85.263401,1,2019,4,14,21,6
7400 Bonny oaks Dr,Silverdale Rd,0,1,45.0,0,1,0,0.0,0.0,35.062947,-85.137467,4,2018,3,2,9,4
E 11th St,King St,0,0,25.0,0,1,0,0.0,0.0,35.042797,-85.306376,4,2018,5,21,17,0
6925 Shallowford Rd,Center St,0,1,,0,1,0,,1.0,35.044439,-85.160347,1,2021,11,14,1,6
200 Central Ave,E 3rd St,0,1,25.0,0,1,0,0.0,0.0,35.047189,-85.28776,4,2021,11,15,7,0
Broad St at W MLK Blvd,Broad St,0,1,30.0,0,1,0,0.0,0.0,35.04568,-85.31051,0,2021,11,16,21,1
800 N Willow St,2200 Rawlings,0,1,30.0,0,1,0,0.0,0.0,35.044888,-85.266698,1,2021,11,17,17,2
6003 Shallowford Rd,Chapman Rd,0,1,45.0,0,1,0,0.0,0.0,35.054355,-85.188205,0,2021,11,18,4,3
Ashford Dr,Asherton Dr,0,0,25.0,0,1,0,0.0,0.0,35.039968,-85.140047,4,2021,11,20,15,5
2100 Hamilton Place Blvd,Hamilton Place Blvd,0,0,,0,1,0,0.0,0.0,35.034528,-85.158706,4,2021,11,26,17,4
501 Signal Mountain Rd,Signal Mtn Rd,0,0,15.0,0,1,0,0.0,0.0,35.094368,-85.331318,4,2021,11,30,12,1
90 Highway 153,Interstate 75,0,1,55.0,0,1,0,0.0,0.0,35.024637,-85.174285,1,2021,12,1,5,2
2140 E 28th St,4th Ave,0,1,35.0,0,1,0,0.0,0.0,35.011308,-85.283909,0,2021,12,1,0,2
2321 Hickory Valley Rd,Shallowford Rd,0,1,45.0,0,1,0,0.0,0.0,35.048197,-85.165687,4,2021,12,2,9,3
2125 E 25th Street Pl,4th Ave,0,1,30.0,0,1,0,0.0,0.0,35.014278,-85.282031,4,2021,12,2,17,3
2464 Amnicola Hwy,River Terminal Rd,1,1,50.0,0,1,0,1.0,1.0,34.9929235,-85.203119,1,2021,12,7,18,1
W Martin Luther King Blvd,Market St,0,1,35.0,0,1,0,0.0,1.0,35.04576,-85.30965,0,2021,12,10,0,4
