,Incident Number,Incident Date,Time Num,Street,Alt Street,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
10,23-113364,2023-10-19 10:23:00,10.5,5226 Highway 153,,Hamill Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,55.0,1,Clear,1,0,0.0,0.0,35.123715,-85.239915,POINT (-85.239915 35.123715),"(35.123715, -85.239915)",Daylight,2023,10,19,10,3
11,23-113822,2023-10-20 13:43:00,13.5,Hixson Pike,,Northpoint Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.135654,-85.239321,POINT (-85.239321 35.135654),"(35.135654, -85.239321)",Daylight,2023,10,20,13,4
12,23-114226,2023-10-21 14:39:00,14.5,5958 Snow Hill Rd,,Hunter Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,20.0,1,Clear,1,0,,,35.090553,-85.064316,POINT (-85.064316 35.090553),"(35.090553, -85.064316)",Daylight,2023,10,21,14,5
13,22-102051,2022-10-28 22:00:00,22.0,421 W 38th St,,Chandler Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.007086,-85.314865,POINT (-85.314865 35.007086),"(35.0070860, -85.314865)",Daylight,2022,10,28,22,4
14,23-116563,2023-10-27 23:16:00,23.5,N Orchard Knob Ave,,E 3rd St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.040879,-85.27199,POINT (-85.27199 35.040879),"(35.040879, -85.271990)",Dark - Lighted,2023,10,27,23,4
15,23-119896,2023-11-05 12:00:00,12.0,701 Mansion Cir,,Notting Hill,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,15.0,1,Unknown,1,0,0.0,0.0,35.081115,-85.298851,POINT (-85.298851 35.081115),"(35.081115, -85.298851)",Daylight,2023,11,5,12,6
16,23-119989,2023-11-07 08:32:00,8.5,370 W Martin Luther King Blvd,,Highway 27 SB,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.047035,-85.315233,POINT (-85.315233 35.047035),"(35.047035, -85.315233)",Daylight,2023,11,7,8,1
17,23-120811,2023-11-09 00:00:00,,1507 Hickory Valley Rd,,Hickory Valley Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.023952,-85.181002,POINT (-85.181002 35.023952),"(35.023952, -85.181002)",Daylight,2023,11,9,0,3
18,23-123345,2023-11-16 16:30:00,16.5,Market St,,E 11th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.043915,-85.30934,POINT (-85.30934 35.043915),"(35.043915, -85.309340)",Daylight,2023,11,16,16,3
19,23-126498,2023-11-26 14:31:00,14.5,300 W Main St,,Broad St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Cloudy,1,0,0.0,0.0,35.03752,-85.31113,POINT (-85.31113 35.03752),"(35.037520, -85.311130)",Daylight,2023,11,26,14,6
20,23-129743,2023-12-05 21:24:00,21.5,7500 Standifer Gap Rd,,Walker Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.050162,-85.13463,POINT (-85.13463 35.050162),"(35.050162, -85.134630)",Dark - Not Lighted,2023,12,5,21,1
21,23-131640,2023-12-11 19:37:00,19.5,2017 Gunbarrel Rd,,Goodwin Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Clear,1,0,,,34.997952,-85.145693,POINT (-85.145693 34.997952),"(34.997952, -85.145693)",Dark - Lighted,2023,12,11,19,0
22,23-131748,2023-12-12 06:40:00,6.5,200 W 38th St,,Huges Ave,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.005769,-85.312336,POINT (-85.312336 35.005769),"(35.005769, -85.312336)",Daylight,2023,12,12,6,1
23,23-016101,2023-02-14 20:33:00,20.5,18120 Interstate 24 Eastbound,I-24,Interstate 75,181.2,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,55.0,1,Clear,1,0,0.0,0.0,35.015381,-85.276945,POINT (-85.276945 35.015381),"(35.015381, -85.276945)",Dark - Lighted,2023,2,14,20,1
24,23-006357,2023-01-18 20:25:00,20.5,,I-24,Browns Ferry Rd,177.2,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,55.0,1,Rain,1,0,0.0,0.0,35.0186462,-85.331377,POINT (-85.331377 35.0186462),"(35.0186462, -85.331377)",Dark - Not Lighted,2023,1,18,20,2
25,22-108386,2022-10-04 16:46:00,17.0,7001 Lee Hwy,,Shallowford Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.04497,-85.16237,POINT (-85.16237 35.04497),"(35.044970, -85.162370)",Daylight,2022,10,4,16,1
26,23-100056,2023-09-12 20:45:00,21.0,1710 Gunbarrel Rd,,Ziegler Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,,1,Clear,1,0,0.0,0.0,35.020977,-85.15991,POINT (-85.15991 35.020977),"(35.020977, -85.159910)",Dark - Lighted,2023,9,12,20,1
27,23-009878,2023-01-28 16:02:00,16.0,7630 E Brainerd Rd,,Mackey Branch Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.011617,-85.157779,POINT (-85.157779 35.011617),"(35.011617, -85.157779)",Daylight,2023,1,28,16,5
28,23-014850,2023-02-11 00:00:00,,602 Central Ave,,Vine St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,1.0,35.043677,-85.289771,POINT (-85.289771 35.043677),"(35.043677, -85.289771)",Dark - Lighted,2023,2,11,0,5
29,22-107804,2022-10-03 06:47:00,7.0,Grubb Rd,,Highway 153,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.158162,-85.248507,POINT (-85.248507 35.158162),"(35.158162, -85.248507)",Dark - Not Lighted,2022,10,3,6,0
30,23-085509,2023-08-07 07:24:00,7.5,3126 Alton Park Blvd,,W 31st St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.01695,-85.312566,POINT (-85.312566 35.01695),"(35.016950, -85.312566)",Daylight,2023,8,7,7,0
31,23-005718,2023-01-17 05:18:00,5.5,4101 Jerome Ave,,E 39th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Rain,1,0,0.0,0.0,34.996963,-85.301073,POINT (-85.301073 34.996963),"(34.996963, -85.301073)",Dark - Lighted,2023,1,17,5,1
32,23-078176,2023-07-20 11:08:00,11.0,7640 E Brainerd Rd,,E Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.011033,-85.15783,POINT (-85.15783 35.011033),"(35.011033, -85.157830)",Daylight,2023,7,20,11,3
33,23-029768,2023-03-23 12:13:00,12.0,Vine St,,Houston St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.049178,-85.302365,POINT (-85.302365 35.049178),"(35.049178, -85.302365)",Daylight,2023,3,23,12,3
34,23-121422,2023-11-11 00:10:00,24.0,1194 Hooker Rd,,E 49th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Rain,1,0,0.0,0.0,34.985076,-85.287463,POINT (-85.287463 34.985076),"(34.985076, -85.287463)",Dark - Not Lighted,2023,11,11,0,5
35,23-073857,2023-07-09 19:40:00,19.5,2600-2706 Walker Rd,,Standifer Gap Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.054775,-85.138024,POINT (-85.138024 35.054775),"(35.054775, -85.138024)",Daylight,2023,7,9,19,6
36,23-092595,2023-08-24 16:44:00,16.5,4200 Bonny Oaks Dr,,S Access Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,40.0,2,Clear,1,0,0.0,0.0,35.076752,-85.102216,POINT (-85.102216 35.076752),"(35.076752, -85.102216)",Daylight,2023,8,24,16,3
37,23-083287,2023-08-01 21:35:00,21.5,610 N Moore Rd,,Ellis Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.020732,-85.223996,POINT (-85.223996 35.020732),"(35.020732, -85.223996)",Daylight,2023,8,1,21,1
38,23-071741,2023-07-04 18:45:00,19.0,1028 Beason Dr,,Beason Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.0522823,-85.132235,POINT (-85.132235 35.0522823),"(35.0522823, -85.132235)",Daylight,2023,7,4,18,1
39,23-089584,2023-08-17 03:39:00,3.5,400 Chickamauga Rd,,Lee hwy,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,0,0,15.0,1,Clear,1,0,1.0,1.0,35.021816,-85.19837,POINT (-85.19837 35.021816),"(35.021816, -85.198370)",Dark - Lighted,2023,8,17,3,3
40,18-001106,2018-01-04 14:24:00,14.5,Rogers Rd,,N Parkdale Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.02496,-85.227372,POINT (-85.227372 35.02496),"(35.024960, -85.227372)",Daylight,2018,1,4,14,3
41,18-001119,2018-01-04 14:56:00,15.0,51 W 3rd St,,Market St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.106632,-85.279061,POINT (-85.279061 35.106632),"(35.106632, -85.279061)",Daylight,2018,1,4,14,3
42,23-110280,2023-10-10 18:11:00,18.0,3569 Brainerd Rd,,N Germantown Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.027555,-85.127268,POINT (-85.127268 35.027555),"(35.027555, -85.127268)",Daylight,2023,10,10,18,1
43,23-094927,2023-08-30 09:45:00,10.0,2017 Gunbarrel Rd,,Gunbarrel Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.031677,-85.155287,POINT (-85.155287 35.031677),"(35.031677, -85.155287)",Daylight,2023,8,30,9,2
44,23-102899,2023-09-20 16:27:00,16.5,I-75 SB Exit 5 Rd,,Shallowford Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,40.0,1,Clear,1,0,0.0,0.0,35.0432887,-85.157116,POINT (-85.157116 35.0432887),"(35.0432887, -85.157116)",Daylight,2023,9,20,16,2
45,23-108798,2023-10-06 12:26:00,12.5,4011 Brainerd Rd,SR-4011,Belvoir Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Cloudy,1,0,0.0,1.0,35.018851,-85.238307,POINT (-85.238307 35.018851),"(35.018851, -85.238307)",Daylight,2023,10,6,12,4
46,23-120068,2023-11-07 13:06:00,13.0,8644 E Brainerd Rd,,Hurricane Creek Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,34.999417,-85.133814,POINT (-85.133814 34.999417),"(34.999417, -85.133814)",Daylight,2023,11,7,13,1
47,23-042975,2023-04-25 09:23:00,9.5,Igou Gap Rd,,Morris Hill Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.016107,-85.125823,POINT (-85.125823 35.016107),"(35.016107, -85.125823)",Daylight,2023,4,25,9,1
48,23-107498,2023-10-03 07:16:00,7.5,4417 Highway 58,,Murray Hills Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.084699,-85.202247,POINT (-85.202247 35.084699),"(35.084699, -85.202247)",Dark - Lighted,2023,10,3,7,1
49,23-109046,2023-10-07 00:33:00,0.5,4900 Bonny Oaks Drive,,Jersey Pike,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,0,0,45.0,1,Clear,1,0,1.0,1.0,35.0817186,-85.262947,POINT (-85.262947 35.0817186),"(35.0817186, -85.262947)",Dark - Lighted,2023,10,7,0,5
50,23-110083,2023-10-10 06:30:00,6.5,400 E 11th St,,Non intersection,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.041869,-85.304752,POINT (-85.304752 35.041869),"(35.041869, -85.304752)",Daylight,2023,10,10,6,1
51,23-044539,2023-04-29 05:38:00,5.5,8001 Volkswagen Dr,,Ferdinand Piech Wy,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,30.0,1,Clear,1,0,0.0,0.0,35.087197,-85.134496,POINT (-85.134496 35.087197),"(35.087197, -85.134496)",Dark - Lighted,2023,4,29,5,5
52,23-116516,2023-10-27 20:44:00,20.5,Mccallie Ave,SR-500,Douglas St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.045946,-85.301604,POINT (-85.301604 35.045946),"(35.045946, -85.301604)",Dark - Lighted,2023,10,27,20,4
53,23-118129,2023-11-01 16:15:00,16.5,17970 Interstate 24 Wb Rd,,Interstate 24 Eb,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,50.0,1,Clear,1,0,0.0,0.0,35.024619,-85.300802,POINT (-85.300802 35.024619),"(35.024619, -85.300802)",Daylight,2023,11,1,16,2
54,23-118217,2023-11-01 20:05:00,20.0,5510 Highway 153,,Gadd Rd,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,45.0,2,Clear,1,0,0.0,0.0,35.001691,-85.293182,POINT (-85.293182 35.001691),"(35.001691, -85.293182)",Daylight,2023,11,1,20,2
55,18-007370,2018-01-25 17:00:00,17.0,Cherokee Blvd,,W Manning St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.065702,-85.313496,POINT (-85.313496 35.065702),"(35.065702, -85.313496)",Daylight,2018,1,25,17,3
56,18-007463,2018-01-25 17:00:00,17.0,1010 N Moore Rd,,N Moore Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,20.0,1,Clear,1,0,0.0,0.0,35.025175,-85.218099,POINT (-85.218099 35.025175),"(35.025175, -85.218099)",Daylight,2018,1,25,17,3
57,18-010600,2018-02-05 04:36:00,4.5,200 E 38th St,SR-200,Fagan St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.004571,-85.308231,POINT (-85.308231 35.004571),"(35.004571, -85.308231)",Dark - Lighted,2018,2,5,4,0
58,18-011035,2018-02-06 19:56:00,20.0,200 High St,,200 High St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.054882,-85.305525,POINT (-85.305525 35.054882),"(35.054882, -85.305525)",Dark - Lighted,2018,2,6,19,1
59,18-012198,2018-02-10 13:10:00,13.0,7420 Bonny Oaks Dr,,Silverdale rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Rain,1,0,0.0,0.0,35.06093,-85.136543,POINT (-85.136543 35.06093),"(35.060930, -85.136543)",Daylight,2018,2,10,13,5
60,18-015259,2018-02-20 06:00:00,6.0,Taylor St,,Taylor St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.077231,-85.245548,POINT (-85.245548 35.077231),"(35.077231, -85.245548)",Dark - Lighted,2018,2,20,6,1
61,18-017761,2018-02-27 17:50:00,18.0,4902 Jeffery Ln,,E 49th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,34.9915689,-85.306069,POINT (-85.306069 34.9915689),"(34.9915689, -85.306069)",Daylight,2018,2,27,17,1
62,18-017777,2018-02-28 10:48:00,11.0,100 N Market St,,Frazier Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Rain,1,0,0.0,0.0,35.1817509,-85.219612,POINT (-85.219612 35.1817509),"(35.1817509, -85.219612)",Daylight,2018,2,28,10,2
63,18-023178,2018-03-16 15:20:00,15.5,2199 Wilder St,,Dodson Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.0586866,-85.27557,POINT (-85.27557 35.0586866),"(35.0586866, -85.275570)",Daylight,2018,3,16,15,4
64,18-029117,2018-04-03 13:29:00,13.5,3600 Brainerd Rd,,N Germantown Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.024158,-85.246468,POINT (-85.246468 35.024158),"(35.024158, -85.246468)",Daylight,2018,4,3,13,1
65,18-029289,2018-04-03 22:50:00,23.0,2300 4th Ave,SR-11,4th Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.017935,-85.279681,POINT (-85.279681 35.017935),"(35.017935, -85.279681)",Dark - Lighted,2018,4,3,22,1
66,18-031173,2018-04-09 14:20:00,14.5,301 W 6th St,SR-301,Pine Street,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.050511,-85.313393,POINT (-85.313393 35.050511),"(35.050511, -85.313393)",Daylight,2018,4,9,14,0
67,18-034331,2018-04-18 18:51:00,19.0,2999 Wilcox Blvd,,Mary Walker Place,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.048746,-85.248374,POINT (-85.248374 35.048746),"(35.048746, -85.248374)",Dusk,2018,4,18,18,2
68,18-035600,2018-04-22 14:32:00,14.5,5604 Hixson Pike,,5129 Hixson Pike,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Rain,1,0,0.0,0.0,35.144917,-85.22042,POINT (-85.22042 35.144917),"(35.144917, -85.220420)",Daylight,2018,4,22,14,6
69,18-035811,2018-04-23 10:45:00,11.0,Brainerd Rd,,Spring Creek Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,40.0,1,Cloudy,1,0,0.0,0.0,35.010589,-85.221388,POINT (-85.221388 35.010589),"(35.010589, -85.221388)",Daylight,2018,4,23,10,0
70,18-036782,2018-04-26 00:00:00,,E Martin Luther King Blvd,,Huston St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.0444207,-85.313301,POINT (-85.313301 35.0444207),"(35.0444207, -85.313301)",Dark - Lighted,2018,4,26,0,3
71,18-038226,2018-04-30 08:17:00,8.5,299 E 6th St,,Lookout St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.049741,-85.306413,POINT (-85.306413 35.049741),"(35.049741, -85.306413)",Daylight,2018,4,30,8,0
72,18-041750,2018-05-09 22:10:00,22.0,Houston St,,E Martin Luther King Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,,1.0,35.044747,-85.305556,POINT (-85.305556 35.044747),"(35.044747, -85.305556)",Dark - Lighted,2018,5,9,22,2
73,18-042526,2018-05-12 01:55:00,2.0,1338 Ely Rd,,Norcross Rd,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,1,0,30.0,1,Clear,1,0,1.0,1.0,35.0679894,-85.308402,POINT (-85.308402 35.0679894),"(35.0679894, -85.308402)",Dark - Lighted,2018,5,12,1,5
74,18-043985,2018-05-16 05:28:00,5.5,3224 Brainerd Rd,,Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.027032,-85.254178,POINT (-85.254178 35.027032),"(35.027032, -85.254178)",Dark - Not Lighted,2018,5,16,5,2
75,18-048011,2018-05-26 22:04:00,22.0,Hixson Pike,,Longview Dr,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,45.0,1,Clear,1,0,1.0,1.0,35.1438846,-85.22689,POINT (-85.22689 35.1438846),"(35.1438846, -85.226890)",Dark - Lighted,2018,5,26,22,5
76,18-050796,2018-06-03 07:39:00,7.5,301 Market St,SR-301,E 3rd St,,Property Damage,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.05332,-85.309891,POINT (-85.309891 35.05332),"(35.053320, -85.309891)",Daylight,2018,6,3,7,6
77,18-052779,2018-06-08 15:19:00,15.5,800 Gateway Ave,SR-1,W ML king,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.051848,-85.31787,POINT (-85.31787 35.051848),"(35.051848, -85.317870)",Daylight,2018,6,8,15,4
78,18-053584,2018-06-10 14:12:00,14.0,5928 Hixson Pike,,Cassandra Smith Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Cloudy,1,0,0.0,0.0,35.147481,-85.20734,POINT (-85.20734 35.147481),"(35.147481, -85.207340)",Daylight,2018,6,10,14,6
79,18-054915,2018-06-13 22:07:00,22.0,Camden St,,Dodson Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.054518,-85.260155,POINT (-85.260155 35.054518),"(35.054518, -85.260155)",Dark - Lighted,2018,6,13,22,2
80,18-055432,2018-06-15 10:18:00,10.5,1515 Dodson Ave,,Camden St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.054131,-85.2603,POINT (-85.2603 35.054131),"(35.054131, -85.260300)",Daylight,2018,6,15,10,4
81,18-056912,2018-06-19 07:52:00,8.0,500 lupton drive,,Sleepy hollow,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,1.0,0.0,35.10722,-85.282888,POINT (-85.282888 35.10722),"(35.107220, -85.282888)",Daylight,2018,6,19,7,1
82,18-056991,2018-06-19 12:25:00,12.5,Arbor Ln,,Eller Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,20.0,1,Clear,1,0,0.0,0.0,35.094641,-85.180832,POINT (-85.180832 35.094641),"(35.094641, -85.180832)",Daylight,2018,6,19,12,1
83,18-058877,2018-06-24 01:28:00,1.5,5256 Hwy 153,,Northgate Mall Dr,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,45.0,1,Clear,1,0,0.0,0.0,35.126395,-85.240755,POINT (-85.240755 35.126395),"(35.126395, -85.240755)",Dark - Not Lighted,2018,6,24,1,6
84,18-061897,2018-07-02 08:05:00,8.0,Bonny Oaks Dr,,Bonny Oaks Dr,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Cloudy,1,0,0.0,0.0,35.073644,-85.19034,POINT (-85.19034 35.073644),"(35.073644, -85.190340)",Daylight,2018,7,2,8,0
